model_name,split_name,patch_idx,trust_score_pct,mean_risk,pct_high_risk,norm_disagreement,norm_stability,norm_spectral,norm_structural,raw_disag_mean,raw_stab_mean,raw_spectral_mean,raw_struct_mean,psnr_db,ssim,psnr_gain,gradient_corr,edge_iou,edge_f1
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",26,84.91,0.1509,0.0,0.17659658193588257,0.18426474928855896,0.14462022483348846,0.09814561158418655,0.0017143702134490013,0.0005038968520238996,0.02048,0.029193677008152008,38.91,0.9318,0.17999999999999972,0.8116,0.3771,0.5476
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",27,84.07,0.1593,0.0,0.17315346002578735,0.20173999667167664,0.1591624617576599,0.10296116769313812,0.0017730740364640951,0.0004934182506985962,0.02121,0.031042873859405518,38.54,0.9283,0.1599999999999966,0.8076,0.4017,0.5732
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",28,83.37,0.1663,0.0,0.17155051231384277,0.212354838848114,0.15458814799785614,0.1266949474811554,0.001651596394367516,0.0004938074271194637,0.02086,0.03238934651017189,38.44,0.9288,0.19999999999999574,0.8373,0.4202,0.5918
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",29,84.62,0.1538,0.0,0.16036134958267212,0.18696141242980957,0.15892380475997925,0.10888393223285675,0.0016136560589075089,0.0004924905952066183,0.02106,0.031472571194171906,38.51,0.9272,0.19999999999999574,0.8329,0.4242,0.5957
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",30,83.61,0.1639,0.0,0.15986067056655884,0.2133970409631729,0.1655811369419098,0.11661107838153839,0.0015651766443625093,0.0004938707570545375,0.02058,0.030631553381681442,38.72,0.9275,0.21000000000000085,0.8148,0.3843,0.5552
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",31,84.46,0.1554,0.0,0.1729026436805725,0.20716741681098938,0.13816450536251068,0.10355767607688904,0.0016304593300446868,0.0004909843555651605,0.01999,0.029439380392432213,38.97,0.9306,0.18999999999999773,0.8336,0.3688,0.5389
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",32,84.54,0.1546,0.0,0.1519434154033661,0.23459216952323914,0.12835335731506348,0.1034054383635521,0.0016599510563537478,0.0004897020990028977,0.01998,0.029972832649946213,38.9,0.931,0.17999999999999972,0.8141,0.3827,0.5536
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",33,84.56,0.1544,0.0,0.18189582228660583,0.19464638829231262,0.13778656721115112,0.10336475074291229,0.001748322625644505,0.0004952594172209501,0.02015,0.03001469001173973,38.83,0.932,0.1700000000000017,0.8331,0.3982,0.5696
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",34,84.08,0.1592,0.0,0.18055427074432373,0.20764127373695374,0.15922024846076965,0.08922497928142548,0.0018103374168276787,0.0004958262434229255,0.02095,0.03221812844276428,38.55,0.9309,0.14999999999999858,0.8273,0.4115,0.583
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",35,84.65,0.1535,0.0,0.17827695608139038,0.16452527046203613,0.16333137452602386,0.10767481476068497,0.0016672646161168814,0.0005029726307839155,0.0211,0.03324466943740845,38.3,0.9275,0.18999999999999773,0.8316,0.4139,0.5855
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",36,85.58,0.1442,0.0,0.14680296182632446,0.20321759581565857,0.1295110434293747,0.09707814455032349,0.0015988675877451897,0.0005126054165884852,0.02103,0.03214750811457634,38.45,0.9251,0.21000000000000085,0.8212,0.4054,0.5769
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",37,84.63,0.1537,0.0,0.15859061479568481,0.20655527710914612,0.15299353003501892,0.09650709480047226,0.0015452601946890354,0.0005147965275682509,0.02023,0.030656110495328903,38.74,0.9268,0.21000000000000085,0.8041,0.3794,0.5501
